Date,Interactions,Network,Rank,Title
10/28/18,"6,381","FOX*, FOX Deportes",1,Boston Red Sox at Los Angeles Dodgers
10/27/18,"4,100","FOX*, FOX Deportes",2,Boston Red Sox at Los Angeles Dodgers
10/23/18,"3,447","FOX*, FOX Deportes",3,Los Angeles Dodgers at Boston Red Sox
10/25/18,"3,315",TNT,4,Denver Nuggets at Los Angeles Lakers
10/26/18,"2,823","FOX*, FOX Deportes",5,Boston Red Sox at Los Angeles Dodgers
10/24/18,"2,699","FOX*, FOX Deportes",6,Los Angeles Dodgers at Boston Red Sox
10/22/18,"2,317",NBA TV,7,San Antonio Spurs at Los Angeles Lakers
10/25/18,"2,204","FOX, FOX Deportes, NFL Network*",8,Miami Dolphins at Houston Texans
10/28/18,"1,824",NBC,9,New Orleans Saints at Minnesota Vikings
10/22/18,"1,502","ESPN*, ESPN Deportes, ESPN2",10,New York Giants at Atlanta Falcons
